Number;StructureName;StructureType;Condition of Bridge;TotalWidth;TotalLength;ConstructionYear;NumberOfSpan;Zone;Circle;Division;Sub-Division;RoadNo;StructureLRPName;ReferenceLRPNo;LocationLRPOffset;LocationChainage;LatitudeDegree;LatitudeMinute;LatitudeSecond;LongitudeDegree;LongitudeMinute;LongitudeSecond;BCS1TotalScore
1;Kanch pur Bridge.;PC Girder Bridge;A;14,55;394,23;1986;8;Dhaka;Dhaka;Narayanganj;Narayanganj-1;N1;LRP008b;LRP005;3976;8,976;23;42;7,5;90;30;57,3;0
2;Madanpur Bridge.(L);PC Girder Bridge;A;9,2;27,5;2003;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP013a;LRP013;305;12,66;23;41;28,4;90;32;41,6;0
3;Madanpur Bridge(R);PC Girder Bridge;A;9,12;27,5;2007;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP013b;LRP013;333;12,688;23;41;28;90;32;41,6;0
4;Langalbandh Bridge.;RCC Girder Bridge;B;17,8;159,52;1998;5;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP017b;LRP016;1672;17,134;23;39;33,9;90;34;10,9;31
5;Darikandi Bridge (L);PC Girder Bridge;A;9,15;20,5;2002;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP018a;LRP016;2260;17,222;23;39;21,8;90;34;27,7;0
6;Darikandi Bridge  (R);PC Girder Bridge;A;9,16;20,45;2002;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP018b;LRP016;2281;17,222;23;39;21,9;90;34;28,1;0
7;Sonakhal Bridge(R);PC Girder Bridge;B;9,16;25,5;2003;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP018d;LRP016;2657;18,093;23;39;14,4;90;34;38,2;1
8;Sonakhal Bridge(L);PC Girder Bridge;A;9,16;25,5;2003;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP018c;LRP016;2631;18,093;23;39;14,4;90;34;38,2;0
9;Mollik para Bridge(L);PC Girder Bridge;B;9,16;40,4;2001;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP019a;LRP016;3280;18,742;23;39;3,4;90;34;57,7;2
10;Mollik para Bridge(R);PC Girder Bridge;B;9,23;40,33;2001;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP019b;LRP016;3321;18,742;23;39;3,4;90;34;56,7;1
11;Marikhali Bridge(L);PC Girder Bridge;A;9,2;86,92;2000;3;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP021c;LRP020;1720;21,184;23;38;3;90;35;48,8;0
12;Marikhali Bridge(R);PC Girder Bridge;A;9,14;89,75;2000;3;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP021d;LRP020;1810;21,184;23;38;3;90;35;48,8;0
13;Ashariarchar Bridge(L);PC Girder Bridge;B;9,2;214,09;2000;9;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP023a;LRP023;126;22,596;23;37;27,4;90;36;19,7;1
14;Ashariarchar Bridge(R);PC Girder Bridge;B;9,12;224,82;2004;7;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP023b;LRP023;352;22,596;23;37;21;90;36;24,3;1
15;Ashariachar-2 Bridge.(L);PC Girder Bridge;A;9,02;119,48;2000;4;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP023c;LRP023;611;23,081;23;37;13,9;90;36;28,5;0
16;Asharirchar-2 Bridge.(R);PC Girder Bridge;A;9,14;119,32;2000;4;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP023d;LRP023;731;23,081;23;37;10,9;90;36;30,7;0
17;Meghna Bridge;PC Girder Bridge;A;9,14;924,85;1989;13;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP024a;LRP023;1923;24,393;23;36;34,3;90;36;43,8;0
18;Bhater char Bridge (R);PC Girder Bridge;A;9,1;173,25;2000;6;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP028a;LRP028;845;28,315;23;35;7,2;90;38;12,9;0
19;Bhater char Bridge (L);PC Girder Bridge;A;9,15;172,1;2000;6;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP028b;LRP028;1008;28,315;23;35;7,2;90;38;12,9;0
20;Anarpara Bridge (L);PC Girder Bridge;A;9,1;29,85;2004;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP029a;LRP029;565;29,138;23;34;40,7;90;38;30,8;0
21;Anarpara Bridge (R);PC Girder Bridge;A;9,15;29,77;2004;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP029b;LRP029;596;29,138;23;34;40,7;90;38;30,8;0
22;Alipur bridge(R);PC Girder Bridge;A;9,1;27,4;2004;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP031a;LRP029;2335;30,908;23;33;50,2;90;38;59,8;0
23;Alipur bridge(L);PC Girder Bridge;A;9,1;27,4;2004;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP031a;LRP029;2335;30,908;23;33;50,2;90;38;59,8;0
24;Bhaber char Bridge(R);PC Girder Bridge;A;9,15;29,85;2003;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP032a;LRP032;292;31,472;23;33;37,4;90;39;15,1;0
25;Bhaber char Bridge(L);PC Girder Bridge;A;9,2;29,83;2003;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP032b;LRP032;322;31,472;23;33;37,7;90;39;15,1;0
26;Baushia Bridge(R);PC Girder Bridge;A;9,15;29,87;2004;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP032d;LRP032;941;32,121;23;33;23,3;90;39;31,9;0
27;Baushia Bridge(L);PC Girder Bridge;A;9,13;29,9;2004;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP032e;LRP032;972;32,121;23;33;23,6;90;39;32;0
28;Madhya Baushia Bridge(L);PC Girder Bridge;A;9,15;72,49;2000;2;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP034a;LRP034;190;33,591;23;32;50,5;90;40;10,2;0
29;Madhya Baushia Bridge(R);PC Girder Bridge;A;10,15;59,83;2000;2;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP034b;LRP034;263;33,591;23;32;50,3;90;40;9,9;0
30;Baushia bazar Bridge ( R );PC Girder Bridge;A;9,2;25,45;1997;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP036b;LRP036;58;35,408;23;32;9,8;90;40;55,8;0
31;Baushia bazar Bridge( L );PC Girder Bridge;A;9,15;25,45;1998;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP036a;LRP036;32;35,408;23;32;9,9;90;40;55,9;0
32;Daudkandi Bridge.;PC Box;A;9,13;1408,8;1995;17;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP037a;LRP036;1634;37,01;23;31;47,5;90;41;42,5;0
33;Baldhakhal Bridge;RCC Girder Bridge;C;7,74;23,1;1976;1;Dhaka;Dhaka;Narayanganj;Vitikandi;N1;LRP040b;LRP040;178;39,304;23;31;53,9;90;43;4;60
34;Shahid Nagor Bridge;RCC Girder Bridge;B;11,5;16,5;1992;1;Comilla;Comilla;Comilla;Gouripur;N1;LRP043a;LRP042;1775;42,936;23;31;45,6;90;45;4,8;30
35;Ginlatoly bridge;RCC Girder Bridge;A;11,5;15,9;1989;1;Comilla;Comilla;Comilla;Gouripur;N1;LRP049a;LRP046;3251;48,384;23;31;51,4;90;48;15,1;0
36;Illiot bazar Bridge;RCC Girder Bridge;B;9,2;28,9;1985;1;Comilla;Comilla;Comilla;Gouripur;N1;LRP056a;LRP056;896;56,006;23;30;47,5;90;52;14,1;30
37;Chandinan-Shahapara Bridge.;RCC Girder Bridge;B;9,2;22,55;1986;3;Comilla;Comilla;Comilla;Gouripur;N1;LRP072a;LRP069;3085;71,156;23;29;20,8;91;0;43,4;30
38;Dhanpur Bridge;RCC Girder Bridge;B;9,2;22,85;1988;3;Comilla;Comilla;Comilla;Comilla;N1;LRP088a;LRP085;3646;87,713;23;26;56,2;91;8;50,1;30
39;Paduar Bazar Bridge;RCC Girder Bridge;B;9,2;35,97;1980;4;Comilla;Comilla;Comilla;Comilla;N1;LRP092a;LRP090;2025;91,092;23;25;24,9;91;9;47;30
40;Mostapur Bridge;RCC Girder Bridge;B;9,2;27,35;1990;3;Comilla;Comilla;Comilla;Comilla;N1;LRP094a;LRP090;4533;93,6;23;24;47,2;91;11;4,7;30
41;Matigara Bridge;RCC Girder Bridge;B;9,2;27,35;1995;3;Comilla;Comilla;Comilla;Comilla;N1;LRP098a;LRP098;191;97,257;23;24;13,6;91;13;3,3;30
42;Suagazi Bridge.;RCC Girder Bridge;A;9,2;30,48;1990;4;Comilla;Comilla;Comilla;Comilla;N1;LRP101a;LRP098;3872;100,938;23;22;42,3;91;14;23,5;0
43;Lalbag Bridge.;RCC Girder Bridge;B;9,3;22,88;1984;3;Comilla;Comilla;Comilla;Comilla;N1;LRP104a;LRP103;1460;103,456;23;21;31,3;91;15;11,8;32
44;Rampur Bridge(L);RCC Girder Bridge;B;12,5;22,86;1986;3;Comilla;Noakhali;Feni;Feni-1;N1;LRP149a;LRP147;2437;148,151;22;59;46;91;24;2;1
45;Rampur Bridge(R);PC Girder Bridge;A;10,86;22,15;2013;1;Comilla;Noakhali;Feni;Feni-1;N1;LRP149b;LRP147;2460;148,174;22;59;46;91;24;2;0
46;Lemua Bridge(L);PC Girder Bridge;C;10,95;98,87;1982;3;Comilla;Noakhali;Feni;Feni-1;N1;LRP155a;LRP152;3129;153,843;22;57;45;91;26;30;60
47;Muhuri Bridge(L);PC Girder Bridge;B;11,2;193,22;1972;6;Comilla;Noakhali;Feni;Feni-1;N1;LRP161a;LRP159;2571;160,379;22;56;59;91;30;3;1
48;DumGhat Bridge(L);PC Girder Bridge;A;11,12;222,43;1974;7;Comilla;Noakhali;Feni;Feni-1;N1;LRP166a;LRP166;317;165,183;22;54;56;91;31;31;0
49;Chotokumir Bridge;PC Girder Bridge;A;19,16;41,11;1989;1;Chittagong;Chittagong;Chittagong;Sitakunda;N1;LRP217a;LRP217;387;214,807;22;30;50,1;91;42;40,7;0
50;Baro Aulia;RCC Girder Bridge;C;12,4;24,33;1987;3;Chittagong;Chittagong;Chittagong;Sitakunda;N1;LRP220b;LRP219;1926;218,441;22;28;38,3;91;43;15,1;591
51;Modonhat Bridge;RCC Girder Bridge;C;12,47;24,32;1986;3;Chittagong;Chittagong;Chittagong;Sitakunda;N1;LRP223a;LRP221;2208;220,725;22;27;31,7;91;43;49;531
52;Bakulia Bridge;RCC Girder Bridge;A;8,05;15,8;1995;1;Chittagong;Chittagong;Chittagong;Chittagong;N1;LRP238a;LRP238;55;242,898;22;21;19,7;91;51;11,3;0
53;5 No hafez bazar Bridge;RCC Girder Bridge;C;4;39,67;1996;3;Chittagong;Chittagong;Chittagong;Chittagong;N1;LRP239a;LRP238;1524;244,367;22;20;33,6;91;51;11,2;30
54;Tulatuli Bridge;RCC Girder Bridge;C;9,15;40,38;1985;3;Chittagong;Chittagong;Chittagong;Chittagong;N1;LRP240a;LRP238;2013;244,856;22;20;16,8;91;51;13,9;30
55;Rajakhali Bridge;RCC Girder Bridge;C;9,18;49,31;1985;3;Chittagong;Chittagong;Chittagong;Chittagong;N1;LRP240c;LRP238;2132;244,975;22;20;15;91;51;15,3;30
56;Sha Amanot Bridge;PC Box;A;24,28;954,5;2009;11;Chittagong;Chittagong;Chittagong;Chittagong;N1;LRP241a;LRP238;3177;246,02;22;19;44,9;91;51;6;0
57;Shikalbaha Bridge;PC Girder Bridge;A;31,2;17,3;2010;1;Chittagong;Chittagong;Dohazari;Patiya;N1;LRP242b;LRP238;4794;247,637;22;18;55,2;91;51;19,1;0
58;Sikolbaha Bridge-1;PC Girder Bridge;A;9,8;116,13;1993;3;Chittagong;Chittagong;Dohazari;Patiya;N1;LRP247a;LRP247;196;251,538;22;17;41,3;91;52;37,8;0
59;Patiya Bridge;RCC Girder Bridge;B;8,4;50,3;1977;2;Chittagong;Chittagong;Dohazari;Patiya;N1;LRP257a;LRP256;1935;262,116;22;18;3,9;91;57;51;1
60;Srimi Bridge;PC Girder Bridge;B;10;61;1992;5;Chittagong;Chittagong;Dohazari;Patiya;N1;LRP261a;LRP261;302;265,483;22;17;11,9;91;59;28;2
61;Korna Bridge;RCC Girder Bridge;B;7,9;15,2;1979;1;Chittagong;Chittagong;Dohazari;Dohazari;N1;LRP264a;LRP263;1608;268,954;22;15;43,3;92;0;25,9;3
62;Kanchon Nagar Bridge;Steel Beam & RCC Slab;B;6,8;12,7;1956;1;Chittagong;Chittagong;Dohazari;Dohazari;N1;LRP269a;LRP267;2389;273,008;22;13;54;92;1;30;2
63;Mazar Point Bridge;RCC Girder Bridge;C;7,2;50,8;1965;4;Chittagong;Chittagong;Dohazari;Dohazari;N1;LRP272a;LRP270;2433;275,943;22;12;30,9;92;2;8,2;591
64;Sangu Bridge;RCC Girder Bridge;B;7,2;211;1960;5;Chittagong;Chittagong;Dohazari;Dohazari;N1;LRP279a;LRP275;4484;282,994;22;9;35,4;92;4;2,7;1
65;Pathanerpul Bridge;PC Girder Bridge;A;11,5;33,65;1990;1;Chittagong;Chittagong;Dohazari;Dohazari;N1;LRP282e;LRP280;2868;286,378;22;7;50,3;92;4;13,7;0
66;Noyakhalar Muk Bridge;RCC Girder Bridge;A;11,5;27,9;1978;2;Chittagong;Chittagong;Dohazari;Dohazari;N1;LRP283a;LRP280;3121;286,631;22;7;39,7;92;4;15,9;0
67;Raj Ghata Bridge;RCC Girder Bridge;B;11,5;30,3;1992;2;Chittagong;Chittagong;Dohazari;Dohazari;N1;LRP291a;LRP290;1024;294,534;22;4;11,9;92;6;14;1
68;Khoria Nagar Bridge;RCC Girder Bridge;A;11,5;38,5;1993;2;Chittagong;Chittagong;Dohazari;Dohazari;N1;LRP291d;LRP290;1785;295,295;22;3;51,5;92;6;25,6;0
69;Amirabad Bridge;PC Girder Bridge;A;11,5;68,8;1992;2;Chittagong;Chittagong;Dohazari;Dohazari;N1;LRP295b;LRP295;924;299,434;22;1;43,9;92;6;12,9;0
70;Khasmahal Bridge;PC Girder Bridge;A;11,6;58,5;1987;2;Chittagong;Chittagong;Dohazari;Dohazari;N1;LRP300d;LRP300;960;304,217;21;59;28,6;92;5;10,1;0
71;Adunagar Bridge;RCC Girder Bridge;B;10;22;1992;1;Chittagong;Chittagong;Dohazari;Dohazari;N1;LRP301b;LRP301;560;304,857;21;59;10,2;92;5;1,1;1
72;Hatirpul Bridge;RCC Girder Bridge;B;10;22,4;1992;1;Chittagong;Chittagong;Dohazari;Dohazari;N1;LRP302a;LRP302;265;305,527;21;58;52,3;92;4;48,9;1
73;Rataykul Bridge;RCC Girder Bridge;A;10;22,4;1986;1;Chittagong;Chittagong;Dohazari;Dohazari;N1;LRP305a;LRP305;385;308,652;21;57;43,3;92;3;48,2;0
74;Santi Bridge;RCC Girder Bridge;B;10;22,3;1986;1;Chittagong;Chittagong;Dohazari;Dohazari;N1;LRP306b;LRP306;703;309,971;21;57;5,4;92;4;4,6;1
75;Harbang Chora Bridge;PC Girder Bridge;C;11,7;56,2;1995;2;Chittagong;Chittagong;Cox's Bazar;Chakoria;N1;LRP317a;LRP317;217;320,513;21;51;35,2;92;3;37;30
76;Bodoitola Bridge;RCC Girder Bridge;C;11,5;45;1992;3;Chittagong;Chittagong;Cox's Bazar;Chakoria;N1;LRP321b;LRP321;291;324,607;21;49;32,4;92;4;20,5;30
77;Mathamuhuri Bridge;RCC Girder Bridge;D;7,2;294,15;1960;7;Chittagong;Chittagong;Cox's Bazar;Chakoria;N1;LRP328a;LRP328;25;331,259;21;46;15,9;92;4;53,8;620
78;Pasiyakali Bridge;RCC Girder Bridge;C;11,6;38,4;1998;2;Chittagong;Chittagong;Cox's Bazar;Chakoria;N1;LRP332c;LRP332;898;336,237;21;43;48,4;92;5;1,8;30
79;Polia Fari Bridge;RCC Girder Bridge;C;11,6;58,57;1999;4;Chittagong;Chittagong;Cox's Bazar;Chakoria;N1;LRP339a;LRP339;419;342,77;21;40;27,5;92;4;36,2;30
80;Dulahajar Bridge;PC Girder Bridge;C;11,6;54,03;1992;2;Chittagong;Chittagong;Cox's Bazar;Chakoria;N1;LRP341a;LRP341;177;344,531;21;39;32,4;92;4;30,8;30
81;Boyragir Khil Bridge;PC Girder Bridge;B;11,7;60,03;1992;2;Chittagong;Chittagong;Cox's Bazar;Chakoria;N1;LRP342a;LRP342;234;345,592;21;38;58,9;92;4;24;30
82;Khutakhali Bazar Bridge;RCC Girder Bridge;A;11,6;44,55;1992;3;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar-1;N1;LRP346a;LRP346;389;349,759;21;37;1,2;92;4;4,3;0
83;Eidgaon Bazar Bridge;PC Girder Bridge;A;11,5;46;1993;2;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar-1;N1;LRP354a;LRP354;20;357,264;21;33;19,4;92;4;4,2;0
84;Goro Bazar Bridge;PC Girder Bridge;A;12,2;44,63;1993;2;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar-1;N1;LRP354d;LRP354;786;358,03;21;32;54,3;92;4;1,6;0
85;Joarianala Bazar Bridge;PC Girder Bridge;A;11,6;57,65;1993;3;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar-1;N1;LRP364d;LRP364;885;368,129;21;28;16,6;92;5;59,6;0
86;Mitacmari Ramu Bridge;PC Girder Bridge;A;11,6;58,6;1998;2;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar-1;N1;LRP368c;LRP364;4604;371,848;21;26;32,2;92;6;3,4;0
87;Sarkarpara Bridge;RCC Girder Bridge;A;11,6;13;1992;1;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar-1;N1;LRP375a;LRP374;1248;378,492;21;25;39;92;2;54,4;0
88;Bakkhali Bridge;RCC Girder Bridge;C;8,8;136,3;1989;5;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar-1;N1;LRP377a;LRP374;3102;380,346;21;25;45,9;92;1;53,8;30
89;Modomconiara;PC Girder Bridge;B;10;21,5;1998;1;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP390a;LRP390;306;393,764;21;20;46,4;92;4;45;30
90;Balukali Old bus Stand Bridge;RCC Girder Bridge;C;7,35;38,7;1967;3;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP412b;LRP412;527;416,057;21;11;32,6;92;10;10,2;31
91;Batukhali Bridge;RCC Girder Bridge;A;6,75;9,4;1951;1;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP413a;LRP413;447;416,966;21;11;11,8;92;9;50;0
92;Balukhali Boro Bridge;RCC Girder Bridge;C;7,3;15,4;1978;1;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP413b;LRP413;771;417,29;21;11;9,2;92;9;39,7;500
93;Thang Khali Bridge;RCC Girder Bridge;C;7,3;48,2;1978;3;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP415c;LRP415;752;419,278;21;10;11,1;92;9;16,7;530
94;Changkhali Bridge;RCC Girder Bridge;A;7,2;9,4;1978;1;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP416a;LRP416;50;419,63;21;10;2,3;92;9;8,9;0
95;Changkhali Boro Bridge;RCC Girder Bridge;A;7,3;21,5;1978;3;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP416b;LRP416;300;419,88;21;9;54,1;92;9;8,3;0
96;Jam Toli Bridge;RCC Girder Bridge;B;7,3;9,4;1958;1;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP416d;LRP416;513;420,093;21;9;45,8;92;9;7,7;30
97;Palong Khali Bazar Bridge;RCC Bridge;B;7,3;15,2;1951;1;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP418b;LRP418;895;422,447;21;8;39,1;92;9;31,3;30
98;Palong Khali Bridge;RCC Girder Bridge;A;7,3;57,6;1978;3;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP419a;LRP419;237;422,784;21;8;29,6;92;9;35,6;0
99;Karontoli  Bridge;RCC Girder Bridge;B;7,3;15,4;1978;1;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP420a;LRP420;119;423,67;21;8;16,1;92;10;1,5;30
100;Kata Khali Bridge;RCC Girder Bridge;C;7,3;12,3;1951;1;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP421a;LRP421;24;424,577;21;8;11,1;92;10;31,4;501
101;Porbo Kata Khali Bridge;RCC Girder Bridge;B;7,3;15,2;1951;1;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP421d;LRP421;714;425,267;21;8;0,6;92;10;50,7;30
102;Balu Khali Bridge;RCC Girder Bridge;C;7,3;7,9;1951;1;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP423b;LRP423;344;426,915;21;7;27,1;92;11;30,8;530
103;Wheke Kang Bridge;RCC Girder Bridge;C;7,3;6,4;1978;1;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP424a;LRP423;1051;427,622;21;7;8,6;92;11;45,6;530
104;Moa Ex Kang Bridge;RCC Girder Bridge;C;7,2;13;1974;1;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP424c;LRP423;1347;427,918;21;7;0,1;92;11;48,7;60
105;Hoacx Kang Barbar Bridge;RCC Girder Bridge;B;7,25;72,6;1981;3;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP424g;LRP423;1524;428,095;21;6;56,9;92;11;49,6;1
106;Tasse Bridge;RCC Girder Bridge;C;8,8;12,8;1978;1;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP425c;LRP425;548;429,081;21;6;32;92;12;16,1;500
107;Unchi-Prong Bridge;RCC Girder Bridge;C;7,3;34,2;1976;3;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP427b;LRP427;422;430,978;21;5;38,5;92;12;42,4;60
108;Khan Gor Para Bridge;RCC Girder Bridge;A;7,3;14;1986;1;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP429d;LRP429;617;433,178;21;4;35,9;92;13;15,6;0
109;Gim-mogari Bridge;RCC Girder Bridge;C;7,2;7,5;1974;1;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP431d;LRP431;658;435,22;21;3;33,6;92;13;35,3;90
110;Noya Bazar(1) Bridge;RCC Girder Bridge;C;7,3;30,9;1978;3;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP432b;LRP432;821;436,388;21;3;4,7;92;13;48,5;60
111;Naya Bazar(2) Bridge;RCC Girder Bridge;C;7,3;9,4;1970;1;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP433b;LRP433;246;436,789;21;3;2,8;92;14;0,2;500
112;Naya Bazar(3) Bridge;RCC Girder Bridge;B;7,3;11,8;1976;1;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP433c;LRP433;520;437,063;21;2;52,9;92;14;4,9;30
113;Nila-Hoab Rabg Bridge;RCC Girder Bridge;C;7,4;32,1;1978;3;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP436a;LRP436;421;440,028;21;1;22,6;92;14;31,7;120
114;Chowdhory Para Bridge;RCC Girder Bridge;C;7,4;45,6;1978;3;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP439a;LRP439;434;443,024;20;59;56,7;92;15;14;32
115;Rongi-Khali Bridge;RCC Girder Bridge;C;7,3;12,5;1996;1;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP440a;LRP440;731;444,315;20;59;15,4;92;15;16,5;60
116;Ala Khali Kuna Para Bridge;RCC Girder Bridge;C;7,3;29,9;1985;3;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP441a;LRP440;1894;445,478;20;58;39,1;92;15;2,4;60
117;Ladapara Bridge;RCC Girder Bridge;A;7,25;36,6;1996;3;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP443a;LRP443;111;446,71;20;58;5,5;92;14;55,8;0
118;Noya Para Bridge;RCC Girder Bridge;C;7,3;30,4;1976;3;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP443d;LRP443;802;447,401;20;57;44,6;92;15;10,5;60
119;Mosinni Mor Bridge;RCC Girder Bridge;B;7,4;8,8;1973;1;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP444b;LRP444;454;448,054;20;57;24,7;92;15;17,3;1
120;Noya Para Bridge;RCC Girder Bridge;A;7,3;9,2;1985;1;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP445a;LRP444;1326;448,926;20;56;58,3;92;15;28,4;0
121;Jadirghat Bridge;RCC Girder Bridge;C;7,3;41,75;1992;3;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP445b;LRP444;1501;449,101;20;56;54,3;92;15;31,9;60
122;Jadimura bridge;RCC Girder Bridge;A;7,3;7,5;1982;1;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP446a;LRP444;2100;449,7;20;56;37,7;92;15;37,2;0
123;Umor khali Bridge;RCC Girder Bridge;A;7,3;35,5;1990;3;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP446b;LRP444;2846;450,446;20;56;14,6;92;15;44,8;0
124;Dhando Mia Bridge;RCC Girder Bridge;C;7,3;38;1974;3;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP447c;LRP447;717;451,328;20;55;46,6;92;15;50,4;90
125;Dondo Mia Checkpost Bridge;RCC Girder Bridge;B;7,3;49,6;1984;4;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP448a;LRP448;369;451,984;20;55;26,1;92;15;36,1;3
126;Domodia Bridge(1);RCC Girder Bridge;A;7,4;13,5;1983;1;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP448c;LRP448;946;452,561;20;55;10,8;92;16;6,6;0
127;Domdomia Bridge(2);RCC Girder Bridge;A;7,4;13,5;1984;1;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP449a;LRP448;1009;452,624;20;55;9,1;92;16;7,3;0
128;Domdomia Bridge (3);RCC Girder Bridge;C;7,35;34,1;1983;3;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP449d;LRP448;1435;453,05;20;54;56,3;92;16;14,4;30
129;Karumtoli Bridge;RCC Girder Bridge;B;10,3;37,6;1981;3;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP450a;LRP450;332;453,95;20;54;32,1;92;16;30,7;30
130;Karumtoli choto(1) Bridge;RCC Girder Bridge;A;7,3;6;1984;1;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP450d;LRP450;712;454,33;20;54;21,2;92;16;38,2;0
131;Sholo Bandar Teknaf Bridge;RCC Girder Bridge;C;7,35;6;1986;1;Chittagong;Chittagong;Cox's Bazar;Cox's Bazar - 2;N1;LRP450e;LRP450;880;454,498;20;54;17,2;92;16;40,8;30
